reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,imp_rank_seccode_5yr,imp_rank_seccode_5yr,imp_sum_seccode_5yr,exp_sum_seccode_5yr
hkg,"China, Hong Kong SAR",rus,Russian Federation,02,Vegetable products,111,72,3020220,13590267
mac,"China, Macao SAR",rus,Russian Federation,01,Live animals and animal products,60,113,5970763,0
mac,"China, Macao SAR",rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",134,114,22014,0
mac,"China, Macao SAR",rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",116,127,236553,0
mac,"China, Macao SAR",rus,Russian Federation,02,Vegetable products,133,125,21456,0
mac,"China, Macao SAR",rus,Russian Federation,06,Product of the chemicals or allied industries,131,113,541786,0
col,Colombia,rus,Russian Federation,06,Product of the chemicals or allied industries,33,75,757837379,6438724
col,Colombia,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",37,81,81872788,350746
col,Colombia,rus,Russian Federation,15,Base metals and articles of base metal,61,68,316197885,5506548
col,Colombia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",63,81,30111564,225145
col,Colombia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",46,75,80251185,3097342
col,Colombia,rus,Russian Federation,05,Mineral products,114,58,4035501,3008701
col,Colombia,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",49,61,9232044,3149985
col,Colombia,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",66,84,13447370,6417
col,Colombia,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",73,55,15248422,1803402
col,Colombia,rus,Russian Federation,11,Textile and textile articles,78,76,401915,839822
col,Colombia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",107,54,600517,70860154
col,Colombia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",60,76,2655247,67540
col,Colombia,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",70,63,26384,251938
col,Colombia,rus,Russian Federation,99,NA,90,76,31188,38200
col,Colombia,rus,Russian Federation,19,"Arms and ammunition, parts and accessories thereof",70,36,9077,0
col,Colombia,rus,Russian Federation,01,Live animals and animal products,106,24,35807,139803707
col,Colombia,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",42,39,2595403,869691
col,Colombia,rus,Russian Federation,02,Vegetable products,142,37,127,224246028
col,Colombia,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,110,70,0,14086
com,Comoros,rus,Russian Federation,02,Vegetable products,145,103,0,1157830
cog,Congo,rus,Russian Federation,02,Vegetable products,57,125,139205202,0
cog,Congo,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",98,102,1085058,1401
cog,Congo,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",76,70,6391259,1745382
cog,Congo,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",106,127,614467,0
cog,Congo,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",111,95,1740405,254116
cog,Congo,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",124,116,244182,0
cog,Congo,rus,Russian Federation,06,Product of the chemicals or allied industries,134,113,436832,0
cog,Congo,rus,Russian Federation,15,Base metals and articles of base metal,130,98,231626,9207
cog,Congo,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",105,68,150418,727483
cog,Congo,rus,Russian Federation,99,NA,84,87,78947,7795
cog,Congo,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",124,105,36621,0
cog,Congo,rus,Russian Federation,01,Live animals and animal products,80,113,809570,0
cog,Congo,rus,Russian Federation,11,Textile and textile articles,136,124,1710,0
cog,Congo,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",127,103,4782,0
cog,Congo,rus,Russian Federation,05,Mineral products,105,113,10204549,0
cri,Costa Rica,rus,Russian Federation,06,Product of the chemicals or allied industries,63,101,227838148,17451
cri,Costa Rica,rus,Russian Federation,15,Base metals and articles of base metal,87,76,43136915,1154278
cri,Costa Rica,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",74,96,4877925,10300
cri,Costa Rica,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",110,86,468954,2633444
cri,Costa Rica,rus,Russian Federation,05,Mineral products,122,111,1407082,4
cri,Costa Rica,rus,Russian Federation,01,Live animals and animal products,97,64,185236,4541675
cri,Costa Rica,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",100,87,578584,4123
cri,Costa Rica,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",104,89,90401,1575
cri,Costa Rica,rus,Russian Federation,20,Miscellaneous manufactured articles,97,88,71930,17046
cri,Costa Rica,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",113,66,110779,1094162
cri,Costa Rica,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",117,103,280584,10400
cri,Costa Rica,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",79,63,3147,10523
cri,Costa Rica,rus,Russian Federation,11,Textile and textile articles,104,96,39359,24771
cri,Costa Rica,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",123,77,535325,2158263
cri,Costa Rica,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",114,88,1124674,3429
cri,Costa Rica,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",102,104,1010,0
cri,Costa Rica,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",98,90,2096,603
cri,Costa Rica,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",75,82,3387,305
cri,Costa Rica,rus,Russian Federation,02,Vegetable products,141,46,383,137077396
civ,Cote d'Ivoire,rus,Russian Federation,06,Product of the chemicals or allied industries,76,94,119985381,111514
civ,Cote d'Ivoire,rus,Russian Federation,02,Vegetable products,66,87,101000987,4334638
civ,Cote d'Ivoire,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",72,88,12573958,608674
civ,Cote d'Ivoire,rus,Russian Federation,01,Live animals and animal products,31,105,58900689,1076
civ,Cote d'Ivoire,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",67,115,22598009,17
civ,Cote d'Ivoire,rus,Russian Federation,15,Base metals and articles of base metal,96,93,16112919,42516
civ,Cote d'Ivoire,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,53,71,3116263,13809
civ,Cote d'Ivoire,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",84,83,3566818,3714358
civ,Cote d'Ivoire,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",97,58,1112649,13080024
civ,Cote d'Ivoire,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",108,105,723578,8483
civ,Cote d'Ivoire,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",95,52,812729,357854
civ,Cote d'Ivoire,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",108,99,36189,84
civ,Cote d'Ivoire,rus,Russian Federation,11,Textile and textile articles,102,116,43088,629
civ,Cote d'Ivoire,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",86,97,7327,68
civ,Cote d'Ivoire,rus,Russian Federation,20,Miscellaneous manufactured articles,92,101,107201,926
civ,Cote d'Ivoire,rus,Russian Federation,05,Mineral products,92,73,50434385,360059
civ,Cote d'Ivoire,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",106,97,827,168
civ,Cote d'Ivoire,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",126,88,36425,73246
civ,Cote d'Ivoire,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",76,86,2673,100
hrv,Croatia,rus,Russian Federation,05,Mineral products,51,68,1289553008,567127
hrv,Croatia,rus,Russian Federation,15,Base metals and articles of base metal,65,60,259395589,20816653
hrv,Croatia,rus,Russian Federation,06,Product of the chemicals or allied industries,90,33,72282188,551214975
hrv,Croatia,rus,Russian Federation,11,Textile and textile articles,30,53,14284049,37546321
hrv,Croatia,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",58,56,19588005,284317
hrv,Croatia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",70,48,18343535,159465851
hrv,Croatia,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",58,60,17460811,7274173
hrv,Croatia,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",83,50,8344341,2796914
hrv,Croatia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",44,43,7877115,10034249
hrv,Croatia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",88,63,2698615,33416081
hrv,Croatia,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",47,59,281918,334308
hrv,Croatia,rus,Russian Federation,99,NA,61,70,514114,61124
hrv,Croatia,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",54,45,312032,267772
hrv,Croatia,rus,Russian Federation,02,Vegetable products,122,50,760565,90320749
hrv,Croatia,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",73,57,1720667,5656391
hrv,Croatia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",75,55,4259892,17654132
hrv,Croatia,rus,Russian Federation,20,Miscellaneous manufactured articles,71,47,675675,21243601
hrv,Croatia,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",81,55,13792,1245814
hrv,Croatia,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,99,54,1414,319266
hrv,Croatia,rus,Russian Federation,01,Live animals and animal products,94,81,284225,177820
hrv,Croatia,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",74,46,3420,61766
cyp,Cyprus,rus,Russian Federation,05,Mineral products,72,79,275643080,138826
cyp,Cyprus,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",27,88,127961567,102135
cyp,Cyprus,rus,Russian Federation,02,Vegetable products,92,90,25495471,3877705
cyp,Cyprus,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",49,97,42906381,444075
cyp,Cyprus,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",61,96,17663480,169
cyp,Cyprus,rus,Russian Federation,15,Base metals and articles of base metal,105,89,7060026,87080
cyp,Cyprus,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",82,78,8253430,2155009
cyp,Cyprus,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",91,78,4862280,22577
cyp,Cyprus,rus,Russian Federation,06,Product of the chemicals or allied industries,113,62,12984003,28336253
cyp,Cyprus,rus,Russian Federation,19,"Arms and ammunition, parts and accessories thereof",18,34,3161410,441
cyp,Cyprus,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",100,69,1052708,2117866
cyp,Cyprus,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,77,64,145095,32329
cyp,Cyprus,rus,Russian Federation,99,NA,60,61,540992,154340
cyp,Cyprus,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",37,68,209108,3587
cyp,Cyprus,rus,Russian Federation,01,Live animals and animal products,96,88,196385,35445
cyp,Cyprus,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",49,89,511267,0
cyp,Cyprus,rus,Russian Federation,20,Miscellaneous manufactured articles,52,64,3216383,1056757
cyp,Cyprus,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",84,91,839599,33631
cyp,Cyprus,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",77,78,888492,29959
cyp,Cyprus,rus,Russian Federation,11,Textile and textile articles,80,104,376348,8524
cyp,Cyprus,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",70,79,34281,14359
cyp,Cyprus,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",63,82,44744,12842
cze,Czech Rep.,rus,Russian Federation,05,Mineral products,19,30,15442607804,58577238
cze,Czech Rep.,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",9,8,967340372,8437146890
cze,Czech Rep.,rus,Russian Federation,15,Base metals and articles of base metal,21,13,2209101558,909294065
cze,Czech Rep.,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",20,26,186328026,6077732
cze,Czech Rep.,rus,Russian Federation,06,Product of the chemicals or allied industries,17,24,1349675766,1094693925
cze,Czech Rep.,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",10,14,664453803,1112325576
cze,Czech Rep.,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",29,19,213043852,27426878
cze,Czech Rep.,rus,Russian Federation,19,"Arms and ammunition, parts and accessories thereof",8,6,16451994,8925424
cze,Czech Rep.,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",23,19,124781907,143331919
cze,Czech Rep.,rus,Russian Federation,11,Textile and textile articles,19,20,33901904,312074538
cze,Czech Rep.,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",44,26,65767786,424213485
cze,Czech Rep.,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",7,7,620119343,4339859257
cze,Czech Rep.,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",12,8,133076419,390590559
cze,Czech Rep.,rus,Russian Federation,01,Live animals and animal products,39,25,28141945,132501561
cze,Czech Rep.,rus,Russian Federation,02,Vegetable products,87,47,29893325,124795300
cze,Czech Rep.,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",9,24,7722812,44805444
cze,Czech Rep.,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,48,44,5373430,850532
cze,Czech Rep.,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",26,18,25023267,440202171
cze,Czech Rep.,rus,Russian Federation,20,Miscellaneous manufactured articles,15,6,47808602,1295390997
cze,Czech Rep.,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",32,20,314461,2082486
cze,Czech Rep.,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",45,27,390545,18274991
cod,Dem. Rep. of the Congo,rus,Russian Federation,02,Vegetable products,32,117,308596720,30376
cod,Dem. Rep. of the Congo,rus,Russian Federation,05,Mineral products,84,113,105975453,0
cod,Dem. Rep. of the Congo,rus,Russian Federation,06,Product of the chemicals or allied industries,84,113,89974264,0
cod,Dem. Rep. of the Congo,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",105,114,2228834,4750
cod,Dem. Rep. of the Congo,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",105,98,2621065,693
cod,Dem. Rep. of the Congo,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",81,104,4613717,10396
cod,Dem. Rep. of the Congo,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",103,121,769710,1602
cod,Dem. Rep. of the Congo,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",122,105,52176,403
cod,Dem. Rep. of the Congo,rus,Russian Federation,15,Base metals and articles of base metal,123,104,509541,2623
cod,Dem. Rep. of the Congo,rus,Russian Federation,20,Miscellaneous manufactured articles,101,92,52996,8241
cod,Dem. Rep. of the Congo,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",79,50,1988,22362
cod,Dem. Rep. of the Congo,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",134,105,5528,0
cod,Dem. Rep. of the Congo,rus,Russian Federation,99,NA,113,98,1219,0
cod,Dem. Rep. of the Congo,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",122,106,180736,112
cod,Dem. Rep. of the Congo,rus,Russian Federation,11,Textile and textile articles,131,108,2614,2405
dnk,Denmark,rus,Russian Federation,05,Mineral products,36,57,3994014980,3641790
dnk,Denmark,rus,Russian Federation,15,Base metals and articles of base metal,26,48,1780377073,84705808
dnk,Denmark,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",14,28,497002840,400945107
dnk,Denmark,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",21,36,447717220,2995715
dnk,Denmark,rus,Russian Federation,06,Product of the chemicals or allied industries,58,27,271346717,769839905
dnk,Denmark,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,19,30,139832406,5354982
dnk,Denmark,rus,Russian Federation,02,Vegetable products,72,52,67550243,89168448
dnk,Denmark,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",62,34,30719534,31034033
dnk,Denmark,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",15,36,2876333,14713276
dnk,Denmark,rus,Russian Federation,01,Live animals and animal products,23,14,103027427,441531825
dnk,Denmark,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",37,29,21262760,37586915
dnk,Denmark,rus,Russian Federation,99,NA,38,32,12945586,7110869
dnk,Denmark,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",70,40,9921689,96207423
dnk,Denmark,rus,Russian Federation,11,Textile and textile articles,60,39,2680666,88151605
dnk,Denmark,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",67,32,20982117,1467360374
dnk,Denmark,rus,Russian Federation,20,Miscellaneous manufactured articles,51,44,3684552,29261215
dnk,Denmark,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,32,3622862,213236945
dnk,Denmark,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",34,20,1129219,28029814
dnk,Denmark,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",27,15,487644,4944600
dnk,Denmark,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",61,21,5872624,292857086
dnk,Denmark,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",62,42,122100,615066
dnk,Denmark,rus,Russian Federation,19,"Arms and ammunition, parts and accessories thereof",84,16,1030,1085468
dom,Dominican Rep.,rus,Russian Federation,05,Mineral products,87,113,82696061,0
dom,Dominican Rep.,rus,Russian Federation,15,Base metals and articles of base metal,77,67,137728738,6759599
dom,Dominican Rep.,rus,Russian Federation,06,Product of the chemicals or allied industries,77,96,117006630,72352
dom,Dominican Rep.,rus,Russian Federation,02,Vegetable products,102,94,14494373,3365985
dom,Dominican Rep.,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",79,60,4470195,36888156
dom,Dominican Rep.,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",88,71,5559094,96547
dom,Dominican Rep.,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",59,102,2931741,8
dom,Dominican Rep.,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",81,89,3106158,44275
dom,Dominican Rep.,rus,Russian Federation,01,Live animals and animal products,83,75,759139,403745
dom,Dominican Rep.,rus,Russian Federation,20,Miscellaneous manufactured articles,83,111,202323,50
dom,Dominican Rep.,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",113,105,1239356,37889
dom,Dominican Rep.,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",90,95,1604912,170
dom,Dominican Rep.,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",127,111,24747,0
dom,Dominican Rep.,rus,Russian Federation,11,Textile and textile articles,82,86,256888,154313
dom,Dominican Rep.,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",137,86,27438,130220
dom,Dominican Rep.,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",80,64,14331,120679
dom,Dominican Rep.,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",85,86,4603,4825
ecu,Ecuador,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",43,79,112620542,1544591
ecu,Ecuador,rus,Russian Federation,06,Product of the chemicals or allied industries,39,89,589319505,200887
ecu,Ecuador,rus,Russian Federation,02,Vegetable products,79,2,45006548,3827848754
ecu,Ecuador,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",60,82,32760899,151953
ecu,Ecuador,rus,Russian Federation,15,Base metals and articles of base metal,82,71,68116389,3982835
ecu,Ecuador,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",66,95,22705873,875
ecu,Ecuador,rus,Russian Federation,05,Mineral products,74,75,253861511,308350
ecu,Ecuador,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",63,83,4727870,173202
ecu,Ecuador,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",92,73,1046398,29301
ecu,Ecuador,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",90,89,3077607,86542
ecu,Ecuador,rus,Russian Federation,99,NA,62,89,451658,6778
ecu,Ecuador,rus,Russian Federation,20,Miscellaneous manufactured articles,84,108,189761,370
ecu,Ecuador,rus,Russian Federation,01,Live animals and animal products,59,17,7752470,262560650
ecu,Ecuador,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",90,103,262490,0
ecu,Ecuador,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",136,42,37187,172192859
