ccode1,country,year,IdealPointDistance
57,RUS,2018,0.7536212
57,CHN,2018,0.1562178
58,RUS,2018,0.3366068
58,CHN,2018,0.2607966
60,RUS,2018,0.5879577
60,CHN,2018,0.0094457
70,RUS,2018,0.12186238
70,CHN,2018,0.47554102
80,RUS,2018,0.430521
80,CHN,2018,0.1668824
90,RUS,2018,0.0932924
90,CHN,2018,0.6906958
91,RUS,2018,0.0813845
91,CHN,2018,0.6787879
92,RUS,2018,0.5802781
92,CHN,2018,0.0171253
93,RUS,2018,1.6201508
93,CHN,2018,1.0227474
94,RUS,2018,0.2277485
94,CHN,2018,0.3696549
95,RUS,2018,0.108712017
95,CHN,2018,0.488691383
100,RUS,2018,0.17339877
100,CHN,2018,0.42400463
101,RUS,2018,1.5900718
101,CHN,2018,0.9926684
110,RUS,2018,0.3605019
110,CHN,2018,0.2369015
115,RUS,2018,0.7416432
115,CHN,2018,0.1442398
130,RUS,2018,0.6818056
130,CHN,2018,0.0844022
135,RUS,2018,0.2397814
135,CHN,2018,0.357622
140,RUS,2018,0.14466608
140,CHN,2018,0.45273732
145,RUS,2018,1.3439988
145,CHN,2018,0.7465954
150,RUS,2018,0.2446683
150,CHN,2018,0.3527351
155,RUS,2018,0.2205159
155,CHN,2018,0.3768875
160,RUS,2018,0.13056707
160,CHN,2018,0.46683633
165,RUS,2018,0.4658861
165,CHN,2018,0.1315173
200,RUS,2018,1.5375042
200,CHN,2018,2.1349076
205,RUS,2018,0.6096075
205,CHN,2018,1.2070109
210,RUS,2018,0.9942022
210,CHN,2018,1.5916056
211,RUS,2018,0.9435722
211,CHN,2018,1.5409756
212,RUS,2018,0.8660694
212,CHN,2018,1.4634728
220,RUS,2018,1.3728502
220,CHN,2018,1.9702536
221,RUS,2018,0.9495682
221,CHN,2018,1.5469716
223,RUS,2018,0.6503524
223,CHN,2018,1.2477558
225,RUS,2018,0.5706008
225,CHN,2018,1.1680042
230,RUS,2018,0.892313
230,CHN,2018,1.4897164
232,RUS,2018,0.7260552
232,CHN,2018,1.3234586
235,RUS,2018,0.8205659
235,CHN,2018,1.4179693
255,RUS,2018,1.0887282
255,CHN,2018,1.6861316
290,RUS,2018,1.1183602
290,CHN,2018,1.7157636
305,RUS,2018,0.67318
305,CHN,2018,1.2705834
310,RUS,2018,1.2538562
310,CHN,2018,1.8512596
316,RUS,2018,1.1727402
316,CHN,2018,1.7701436
317,RUS,2018,0.9841432
317,CHN,2018,1.5815466
325,RUS,2018,0.9818202
325,CHN,2018,1.5792236
331,RUS,2018,0.6429628
331,CHN,2018,1.2403662
338,RUS,2018,0.5946234
338,CHN,2018,1.1920268
339,RUS,2018,0.9593932
339,CHN,2018,1.5567966
341,RUS,2018,0.8987366
341,CHN,2018,1.49614
343,RUS,2018,0.7906431
343,CHN,2018,1.3880465
344,RUS,2018,0.9816022
344,CHN,2018,1.5790056
345,RUS,2018,0.2741371
