reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,imp_rank_hs2_5yr
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",90,1171579,1474655,78,64
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,82,1155472,42627,59,69
ago,Angola,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,808797,8968,91,91
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,234036,890,80,74
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,32,51123,0,92,80
ago,Angola,rus,Russian Federation,11,Textile and textile articles,62,112278,3262,62,87
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,94,657378,88838,63,72
ago,Angola,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",64,53565,893,58,80
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,83,39584,9,76,83
ago,Angola,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",65,14435,64,47,78
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",68,860029,0,61,85
ago,Angola,rus,Russian Federation,11,Textile and textile articles,59,27570,0,52,68
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",69,207788,8673,52,69
ago,Angola,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",49,16597641,3415,12,75
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,72,1650962,180,106,72
ago,Angola,rus,Russian Federation,11,Textile and textile articles,63,63434,18451,75,80
ago,Angola,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",97,3682,216,73,84
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,76,32895,4,106,91
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,95,7128,2810,100,75
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,75,1330,88,73,48
ago,Angola,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",42,13026,7036,68,70
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,74,2625,2738,90,76
ago,Angola,rus,Russian Federation,11,Textile and textile articles,57,5163,497,60,68
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,33,3713,87,115,92
ago,Angola,rus,Russian Federation,11,Textile and textile articles,52,1955,150,63,64
ago,Angola,rus,Russian Federation,11,Textile and textile articles,61,61391,1106,59,96
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",91,711,55,77,64
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,96,416635,2973,40,74
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,35,48,0,92,73
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,34,13374,81,104,83
ago,Angola,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,39521,5414,120,85
